Date,Student,Status
2026-04-01,John Doe,Present
2026-04-02,John Doe,Present
2026-04-03,John Doe,Late
2026-04-04,John Doe,Present
2026-04-08,John Doe,Absent
2026-04-09,John Doe,Present
2026-04-10,John Doe,Present
2026-04-11,John Doe,Present
2026-04-15,John Doe,Late
2026-04-16,John Doe,Present
2026-04-17,John Doe,Present
2026-04-18,John Doe,Present
2026-04-01,Jane Smith,Present
2026-04-02,Jane Smith,Present
2026-04-03,Jane Smith,Present
2026-04-04,Jane Smith,Present
2026-04-08,Jane Smith,Present
2026-04-09,Jane Smith,Present
2026-04-10,Jane Smith,Present
2026-04-11,Jane Smith,Late
2026-04-15,Jane Smith,Present
2026-04-16,Jane Smith,Present
2026-04-17,Jane Smith,Present
2026-04-18,Jane Smith,Present
2026-04-01,Student A,Absent
2026-04-02,Student A,Absent
2026-04-03,Student A,Late
2026-04-04,Student A,Absent
2026-04-08,Student A,Present
2026-04-09,Student A,Late
2026-04-10,Student A,Absent
2026-04-11,Student A,Present
2026-04-15,Student A,Late
2026-04-16,Student A,Absent
2026-04-17,Student A,Present
2026-04-18,Student A,Late
2026-04-01,Student B,Present
2026-04-02,Student B,Present
2026-04-03,Student B,Present
2026-04-04,Student B,Late
2026-04-08,Student B,Present
2026-04-09,Student B,Present
2026-04-10,Student B,Present
2026-04-11,Student B,Present
2026-04-15,Student B,Present
2026-04-16,Student B,Present
2026-04-17,Student B,Late
2026-04-18,Student B,Present
2026-04-01,Student C,Present
2026-04-02,Student C,Present
2026-04-03,Student C,Present
2026-04-04,Student C,Present
2026-04-08,Student C,Present
2026-04-09,Student C,Present
2026-04-10,Student C,Present
2026-04-11,Student C,Present
2026-04-15,Student C,Present
2026-04-16,Student C,Present
2026-04-17,Student C,Present
2026-04-18,Student C,Present
